2021-10-22 05:36:13 [main] [parseDataList] [45] INFO  javacourse.task2.parser.impl.ParserDataImpl - List<Double> after parse [2.0, 1.0, 2.0, 6.0, 8.0, 1.0, 3.0, 2.0, 3.0, 6.0, 8.0, 2.0, 3.5, 2.5, 3.5, 5.5, 7.5, 2.5]
2021-10-22 05:36:13 [main] [main] [35] INFO  com.javacourse.task2.main.Main - [Triangle{triangleId = 1, pointA = {pointAxisX = 2.0, pointAxisY = 1.0}, pointB = {pointAxisX = 2.0, pointAxisY = 6.0}, pointC = {pointAxisX = 8.0, pointAxisY = 1.0}}, Triangle{triangleId = 2, pointA = {pointAxisX = 3.0, pointAxisY = 2.0}, pointB = {pointAxisX = 3.0, pointAxisY = 6.0}, pointC = {pointAxisX = 8.0, pointAxisY = 2.0}}, Triangle{triangleId = 3, pointA = {pointAxisX = 3.5, pointAxisY = 2.5}, pointB = {pointAxisX = 3.5, pointAxisY = 5.5}, pointC = {pointAxisX = 7.5, pointAxisY = 2.5}}]
2021-10-22 05:36:13 [main] [getInstance] [24] INFO  com.javacourse.task2.repository.Repository - New repository is ready
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 5.0, SideBC is: 7.810249675906654, SideAC is: 6.0
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 5.0, SideBC is: 7.810249675906654, SideAC is: 6.0
2021-10-22 05:36:13 [main] [calculatePerimeter] [20] INFO  javacourse.task2.service.impl.TriangleServiceImpl - Perimeter of Triangle{triangleId = 1, pointA = {pointAxisX = 2.0, pointAxisY = 1.0}, pointB = {pointAxisX = 2.0, pointAxisY = 6.0}, pointC = {pointAxisX = 8.0, pointAxisY = 1.0}} is: 18.810249675906654
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 5.0, SideBC is: 7.810249675906654, SideAC is: 6.0
2021-10-22 05:36:13 [main] [calculatePerimeter] [20] INFO  javacourse.task2.service.impl.TriangleServiceImpl - Perimeter of Triangle{triangleId = 1, pointA = {pointAxisX = 2.0, pointAxisY = 1.0}, pointB = {pointAxisX = 2.0, pointAxisY = 6.0}, pointC = {pointAxisX = 8.0, pointAxisY = 1.0}} is: 18.810249675906654
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 5.0, SideBC is: 7.810249675906654, SideAC is: 6.0
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 5.0, SideBC is: 7.810249675906654, SideAC is: 6.0
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 5.0, SideBC is: 7.810249675906654, SideAC is: 6.0
2021-10-22 05:36:13 [main] [calculateArea] [30] INFO  javacourse.task2.service.impl.TriangleServiceImpl - Area of Triangle{triangleId = 1, pointA = {pointAxisX = 2.0, pointAxisY = 1.0}, pointB = {pointAxisX = 2.0, pointAxisY = 6.0}, pointC = {pointAxisX = 8.0, pointAxisY = 1.0}} is: 15.0
2021-10-22 05:36:13 [main] [putParameters] [25] INFO  com.javacourse.task2.entity.Warehouse - Put parameters TriangleParameters{perimeter = 18.810249675906654, area = 15.0} in 1 triangle
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 4.0, SideBC is: 6.4031242374328485, SideAC is: 5.0
2021-10-22 05:36:13 [main] [calculateTriangleSide] [53] INFO  javacourse.task2.service.impl.TriangleServiceImpl - SideAB is: 4.0, SideBC is: 6.4031242374328485, SideAC is: 5.0
